Amostra,Cellulose,Hemicellulose,Lignin,Solids_Loading,Enzyme_Loading,Time_h,Glucose_Real,Xylose_Real,Cellobiose_Real,Glucose_Pred,Xylose_Pred,Cellobiose_Pred,Glucose_AE,Xylose_AE,Cellobiose_AE,Glucose_RE,Xylose_RE,Cellobiose_RE,Total_AE
86,0.554000,0.149000,0.298000,123.874000,0.760000,48.000000,35.682000,19.138000,1.016000,31.491722,19.705950,1.210793,4.190278,0.567950,0.194793,11.743394,2.967655,19.172541,4.953021
87,0.554000,0.149000,0.298000,123.874000,0.760000,72.000000,42.379000,19.504000,0.688000,41.660431,19.810738,0.752072,0.718569,0.306738,0.064072,1.695578,1.572691,9.312805,1.089379
88,0.554000,0.149000,0.298000,123.874000,0.760000,96.000000,47.088000,19.721000,0.485000,48.146091,19.997387,0.611087,1.058091,0.276387,0.126087,2.247051,1.401485,25.997386,1.460566
89,0.604000,0.117000,0.279000,175.006000,0.716000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.604000,0.117000,0.279000,175.006000,0.716000,1.000000,12.237000,6.360000,0.898000,11.270473,5.831436,0.851558,0.966527,0.528564,0.046442,7.898402,8.310752,5.171672,1.541533
91,0.604000,0.117000,0.279000,175.006000,0.716000,2.000000,15.740000,8.998000,1.260000,16.588812,9.298630,1.334925,0.848812,0.300630,0.074925,5.392706,3.341073,5.946395,1.224366
92,0.604000,0.117000,0.279000,175.006000,0.716000,4.000000,20.516000,11.882000,1.705000,22.804567,11.769135,1.730521,2.288567,0.112865,0.025521,11.155037,0.949878,1.496824,2.426953
93,0.604000,0.117000,0.279000,175.006000,0.716000,6.000000,24.156000,13.538000,1.988000,25.892935,12.989391,1.924657,1.736935,0.548609,0.063343,7.190490,4.052361,3.186262,2.348886
94,0.604000,0.117000,0.279000,175.006000,0.716000,8.000000,27.230000,14.650000,2.184000,30.256411,13.851190,2.081368,3.026411,0.798810,0.102632,11.114251,5.452631,4.699247,3.927853
95,0.604000,0.117000,0.279000,175.006000,0.716000,12.000000,32.384000,16.094000,2.425000,37.755886,15.318781,2.367114,5.371886,0.775219,0.057886,16.588087,4.816821,2.387049,6.204991
96,0.604000,0.117000,0.279000,175.006000,0.716000,24.000000,43.775000,18.161000,2.593000,46.437695,16.778410,2.396567,2.662695,1.382590,0.196433,6.082683,7.612962,7.575525,4.241718
97,0.604000,0.117000,0.279000,175.006000,0.716000,48.000000,58.363000,19.730000,2.219000,57.436554,18.392132,2.120398,0.926446,1.337868,0.098602,1.587386,6.780883,4.443531,2.362916
98,0.604000,0.117000,0.279000,175.006000,0.716000,72.000000,67.820000,20.449000,1.737000,68.191658,19.786896,1.713052,0.371658,0.662104,0.023948,0.548007,3.237832,1.378697,1.057710
99,0.604000,0.117000,0.279000,175.006000,0.716000,96.000000,74.557000,20.884000,1.339000,78.174294,20.714710,1.306002,3.617294,0.169290,0.032998,4.851715,0.810619,2.464366,3.819581
100,0.649000,0.087000,0.264000,235.091000,0.093000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,0.649000,0.087000,0.264000,235.091000,0.093000,1.000000,11.600000,0.998000,0.354000,9.215377,0.000000,0.000000,2.384623,0.998000,0.354000,20.557096,100.000000,100.000000,3.736623
102,0.649000,0.087000,0.264000,235.091000,0.093000,2.000000,15.647000,1.571000,0.521000,11.355244,0.000000,0.000000,4.291756,1.571000,0.521000,27.428621,100.000000,100.000000,6.383756
103,0.649000,0.087000,0.264000,235.091000,0.093000,4.000000,20.763000,2.422000,0.753000,18.198652,0.923480,0.353014,2.564348,1.498520,0.399986,12.350565,61.871170,53.119035,4.462854
104,0.649000,0.087000,0.264000,235.091000,0.093000,6.000000,24.343000,3.085000,0.925000,24.037998,2.349073,0.743345,0.305002,0.735927,0.181655,1.252934,23.854995,19.638344,1.222583
105,0.649000,0.087000,0.264000,235.091000,0.093000,8.000000,27.182000,3.642000,1.066000,29.052948,3.363975,0.954296,1.870948,0.278025,0.111704,6.883040,7.633847,10.478833,2.260677
106,0.649000,0.087000,0.264000,235.091000,0.093000,12.000000,31.653000,4.560000,1.292000,33.621910,3.539960,1.047634,1.968910,1.020040,0.244366,6.220295,22.369290,18.913795,3.233316
107,0.649000,0.087000,0.264000,235.091000,0.093000,24.000000,40.741000,6.508000,1.754000,45.816410,5.975573,1.651999,5.075410,0.532427,0.102001,12.457745,8.181115,5.815316,5.709838
108,0.649000,0.087000,0.264000,235.091000,0.093000,48.000000,51.955000,8.896000,2.293000,61.459557,10.655827,2.682971,9.504557,1.759827,0.389971,18.293825,19.782223,17.007011,11.654354
109,0.649000,0.087000,0.264000,235.091000,0.093000,72.000000,59.629000,10.439000,2.617000,70.297173,11.354433,2.856913,10.668173,0.915433,0.239913,17.890913,8.769356,9.167485,11.823519
110,0.649000,0.087000,0.264000,235.091000,0.093000,96.000000,65.601000,11.569000,2.834000,77.723549,12.188943,3.033075,12.122549,0.619943,0.199075,18.479214,5.358656,7.024519,12.941567
111,0.611000,0.116000,0.273000,247.770000,1.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
112,0.611000,0.116000,0.273000,247.770000,1.195000,1.000000,17.809000,10.615000,1.510000,11.297576,9.255805,1.225051,6.511424,1.359195,0.284949,36.562547,12.804475,18.870792,8.155568
113,0.611000,0.116000,0.273000,247.770000,1.195000,2.000000,23.112000,14.434000,2.100000,22.234842,15.125845,2.120916,0.877158,0.691845,0.020916,3.795248,4.793162,0.995983,1.589918
114,0.611000,0.116000,0.273000,247.770000,1.195000,4.000000,30.546000,18.350000,2.821000,31.531475,20.167616,2.933970,0.985475,1.817616,0.112970,3.226200,9.905264,4.004616,2.916061
115,0.611000,0.116000,0.273000,247.770000,1.195000,6.000000,36.298000,20.498000,3.272000,36.649826,21.261429,3.151695,0.351826,0.763429,0.120305,0.969271,3.724406,3.676810,1.235560
116,0.611000,0.116000,0.273000,247.770000,1.195000,8.000000,41.178000,21.909000,3.579000,41.486084,22.194506,3.328506,0.308084,0.285506,0.250494,0.748176,1.303143,6.998988,0.844083
117,0.611000,0.116000,0.273000,247.770000,1.195000,12.000000,49.362000,23.705000,3.940000,50.561363,23.912651,3.646120,1.199363,0.207651,0.293880,2.429730,0.875980,7.458887,1.700894
118,0.611000,0.116000,0.273000,247.770000,1.195000,24.000000,67.239000,26.236000,4.124000,70.649925,28.271112,4.112216,3.410925,2.035112,0.011784,5.072838,7.756946,0.285754,5.457822
119,0.611000,0.116000,0.273000,247.770000,1.195000,48.000000,89.415000,28.144000,3.404000,86.876053,28.327477,3.359768,2.538947,0.183477,0.044232,2.839509,0.651920,1.299401,2.766655
120,0.611000,0.116000,0.273000,247.770000,1.195000,72.000000,103.278000,29.024000,2.585000,102.239395,28.635948,2.575795,1.038605,0.388052,0.009205,1.005640,1.337003,0.356086,1.435862
121,0.611000,0.116000,0.273000,247.770000,1.195000,96.000000,112.885000,29.559000,1.939000,115.593185,29.497190,1.952130,2.708185,0.061810,0.013130,2.399066,0.209106,0.677133,2.783125
122,0.584000,0.119000,0.297000,101.309000,0.508000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,0.584000,0.119000,0.297000,101.309000,0.508000,1.000000,7.622000,3.361000,0.443000,4.482820,3.149442,0.324073,3.139180,0.211558,0.118927,41.185784,6.294490,26.845894,3.469666
124,0.584000,0.119000,0.297000,101.309000,0.508000,2.000000,9.795000,4.901000,0.610000,8.867896,4.262646,0.466686,0.927104,0.638354,0.143314,9.465073,13.024980,23.494160,1.708773
125,0.584000,0.119000,0.297000,101.309000,0.508000,4.000000,12.687000,6.648000,0.793000,14.552804,6.257566,0.638038,1.865804,0.390434,0.154962,14.706424,5.872955,19.541299,2.411201
126,0.584000,0.119000,0.297000,101.309000,0.508000,6.000000,14.856000,7.675000,0.892000,16.596825,6.942542,0.708987,1.740825,0.732458,0.183013,11.717990,9.543432,20.517186,2.656296
127,0.584000,0.119000,0.297000,101.309000,0.508000,8.000000,16.669000,8.373000,0.948000,18.195314,7.143652,0.762914,1.526314,1.229348,0.185086,9.156605,14.682283,19.523865,2.940748
128,0.584000,0.119000,0.297000,101.309000,0.508000,12.000000,19.683000,9.283000,0.991000,20.994102,7.462271,0.841032,1.311102,1.820729,0.149968,6.661091,19.613582,15.133012,3.281799
129,0.584000,0.119000,0.297000,101.309000,0.508000,24.000000,26.228000,10.592000,0.913000,25.594507,8.817751,0.930609,0.633493,1.774249,0.017609,2.415330,16.750841,1.928721,2.425351
130,0.584000,0.119000,0.297000,101.309000,0.508000,48.000000,34.355000,11.579000,0.631000,33.602985,10.110009,0.576322,0.752015,1.468991,0.054678,2.188952,12.686681,8.665356,2.275684
131,0.584000,0.119000,0.297000,101.309000,0.508000,72.000000,39.462000,12.026000,0.433000,38.061985,10.436417,0.470196,1.400015,1.589583,0.037196,3.547755,13.217889,8.590268,3.026794
132,0.584000,0.119000,0.297000,101.309000,0.508000,96.000000,43.035000,12.294000,0.310000,42.283474,10.812840,0.369206,0.751526,1.481160,0.059206,1.746314,12.047824,19.098684,2.291891
133,0.619000,0.146000,0.235000,99.937000,0.147000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
134,0.619000,0.146000,0.235000,99.937000,0.147000,1.000000,4.219000,2.388000,0.271000,0.000000,0.098665,0.068449,4.219000,2.289335,0.202551,100.000000,95.868292,74.742078,6.710886
135,0.619000,0.146000,0.235000,99.937000,0.147000,2.000000,5.373000,3.810000,0.405000,3.170891,2.472144,0.397544,2.202109,1.337856,0.007456,40.984719,35.114321,1.841033,3.547421
136,0.619000,0.146000,0.235000,99.937000,0.147000,4.000000,6.835000,5.698000,0.589000,6.427846,5.500638,0.701176,0.407154,0.197362,0.112176,5.956899,3.463706,19.045169,0.716692
137,0.619000,0.146000,0.235000,99.937000,0.147000,6.000000,7.900000,6.960000,0.723000,7.763552,6.738003,0.785248,0.136448,0.221997,0.062248,1.727194,3.189615,8.609663,0.420693
138,0.619000,0.146000,0.235000,99.937000,0.147000,8.000000,8.786000,7.886000,0.831000,7.429228,7.611042,0.852950,1.356772,0.274958,0.021950,15.442428,3.486654,2.641415,1.653679
139,0.619000,0.146000,0.235000,99.937000,0.147000,12.000000,10.271000,9.183000,1.000000,7.490012,8.981553,0.987634,2.780988,0.201447,0.012366,27.076116,2.193694,1.236641,2.994801
140,0.619000,0.146000,0.235000,99.937000,0.147000,24.000000,13.702000,11.211000,1.314000,9.463634,10.775517,1.143808,4.238366,0.435483,0.170192,30.932459,3.884422,12.952206,4.844040
141,0.619000,0.146000,0.235000,99.937000,0.147000,48.000000,18.753000,12.835000,1.577000,16.473652,12.392189,1.389561,2.279348,0.442811,0.187439,12.154579,3.450027,11.885815,2.909598
142,0.619000,0.146000,0.235000,99.937000,0.147000,72.000000,22.680000,13.580000,1.638000,26.277189,12.864565,1.365992,3.597189,0.715435,0.272008,15.860623,5.268300,16.606094,4.584632
143,0.619000,0.146000,0.235000,99.937000,0.147000,96.000000,25.936000,14.025000,1.610000,29.232395,13.582645,1.291013,3.296395,0.442355,0.318987,12.709728,3.154043,19.812857,4.057737
144,0.644000,0.125000,0.231000,196.155000,0.801000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145,0.644000,0.125000,0.231000,196.155000,0.801000,1.000000,13.988000,8.141000,1.129000,10.503613,6.825641,0.970338,3.484387,1.315359,0.158662,24.909826,16.157215,14.053360,4.958408
146,0.644000,0.125000,0.231000,196.155000,0.801000,2.000000,18.033000,11.352000,1.586000,18.206345,12.229307,1.699343,0.173345,0.877307,0.113343,0.961263,7.728217,7.146474,1.163995
147,0.644000,0.125000,0.231000,196.155000,0.801000,4.000000,23.622000,14.777000,2.160000,24.923466,15.071079,2.169507,1.301466,0.294079,0.009507,5.509549,1.990115,0.440129,1.605052
148,0.644000,0.125000,0.231000,196.155000,0.801000,6.000000,27.925000,16.707000,2.533000,29.368944,16.197708,2.418986,1.443944,0.509292,0.114014,5.170794,3.048374,4.501160,2.067250
149,0.644000,0.125000,0.231000,196.155000,0.801000,8.000000,31.576000,17.991000,2.799000,33.206478,17.192085,2.626826,1.630478,0.798915,0.172174,5.163663,4.440636,6.151258,2.601567
150,0.644000,0.125000,0.231000,196.155000,0.801000,12.000000,37.729000,19.644000,3.139000,41.754902,18.848005,2.938733,4.025902,0.795995,0.200267,10.670577,4.052101,6.379966,5.022164
151,0.644000,0.125000,0.231000,196.155000,0.801000,24.000000,51.401000,21.989000,3.447000,55.840122,21.686581,3.388454,4.439122,0.302419,0.058546,8.636257,1.375321,1.698470,4.800088
152,0.644000,0.125000,0.231000,196.155000,0.801000,48.000000,68.996000,23.760000,3.073000,68.856972,22.565531,2.907323,0.139028,1.194469,0.165677,0.201502,5.027227,5.391388,1.499175
