Time,Cellulose (C),Cellobiose (G2),Glucose (G),Hemicellulose (H),Xylose (X)
4.94949494949495,0.2080829224507831,0.0007002865243615165,0.8791447083391554,1.5208074973932963e-10,1.1359999998272359
5.05050505050505,0.20495086547637786,0.0006771047816203312,0.8826490324214716,1.269811689305435e-10,1.1359999998557488
5.151515151515151,0.20191214123067652,0.0006556050181042998,0.8860478863921436,1.4296069210156605e-10,1.1359999998375963
5.252525252525253,0.19896261255760928,0.0006350822599355174,0.8893466092693514,1.62829336803585e-10,1.1359999998150254
5.353535353535354,0.19609841351464583,0.0006145371496421296,0.892550548717759,1.3802285139603663e-10,1.1359999998432058
5.454545454545454,0.19331587175950501,0.0005941336242925855,0.8956636123479427,9.711142748672185e-11,1.135999999889681
5.555555555555555,0.19061155199152802,0.0005746753188286824,0.8986887707970403,6.515288953927728e-11,1.135999999925986
5.656565656565657,0.18798220554413797,0.0005565578284171027,0.9016292170034582,4.357407487498413e-11,1.1359999999504995
5.757575757575758,0.1854247422581482,0.0005399143513848348,0.9044882440958559,3.2099569688256534e-11,1.1359999999635346
5.858585858585858,0.18293623048176233,0.0005246156892191736,0.9072692453931469,2.8751709046641847e-11,1.1359999999673378
5.959595959595959,0.1805138970705742,0.00051027024656772,0.909975714404498,2.985057689082079e-11,1.1359999999660895
6.0606060606060606,0.178155127387568,0.0004962240312383814,0.9126112448293293,3.001400603460736e-11,1.1359999999659036
6.161616161616162,0.17585745727970156,0.000481718013957436,0.9151793737721063,2.394147106648938e-11,1.135999999972802
6.262626262626262,0.17361852655536197,0.0004672677001981313,0.9176821807432173,1.7534919038106084e-11,1.1359999999800798
6.363636363636363,0.17143612014380152,0.0004534923132404309,0.9201214747981172,1.2532201486597737e-11,1.1359999999857628
6.4646464646464645,0.16930812509307508,0.00044071521270988215,0.9224992630752571,9.015666654679984e-12,1.1359999999897576
6.565656565656566,0.16723252227172958,0.0004290469580342316,0.9248176725503143,6.893390200697876e-12,1.1359999999921686
6.666666666666667,0.1652073863688042,0.00041838530844342484,0.9270789500361936,5.899175198625991e-12,1.1359999999932981
6.767676767676767,0.16323088589383014,0.00040841522296960705,0.9292854621830264,5.592552138068374e-12,1.1359999999936463
6.8686868686868685,0.1613012831768308,0.0003986088604471223,0.9314396954781716,5.358778924258559e-12,1.1359999999939119
6.96969696969697,0.15941693278028923,0.00038826621881729166,0.9335442152174441,4.473168429068174e-12,1.135999999994918
7.070707070707071,0.1575762516625495,0.00037762361839298683,0.9356005314228015,3.427151561068515e-12,1.1359999999961063
7.171717171717171,0.1557777420979031,0.0003673384175921179,0.9376096159708626,2.582245152980984e-12,1.1359999999970662
7.2727272727272725,0.15401997417358826,0.00035776035038988653,0.939572689321792,1.944011617920363e-12,1.1359999999977912
7.373737373737374,0.15230157507712527,0.0003490569793389313,0.9414911003198195,1.5012323214921073e-12,1.1359999999982942
7.474747474747475,0.15062122909631676,0.0003412136955693271,0.9433663261932395,1.2259075817923102e-12,1.135999999998607
7.575757575757575,0.14897767761924732,0.0003340337187885854,0.9451999725544115,1.0732566694077077e-12,1.1359999999987804
7.6767676767676765,0.1473697191342839,0.00032713809728165396,0.9469937733997603,9.81717807415683e-13,1.1359999999988843
7.777777777777778,0.1457962092300755,0.00031996570791091713,0.9487495911097755,8.729481713842683e-13,1.1359999999990078
7.878787878787879,0.14425605406433697,0.00031206618033773303,0.950469115256427,7.00513336472608e-13,1.1359999999992039
7.979797979797979,0.14274819779307682,0.0003040929097634312,0.9521528309276928,5.503118526084289e-13,1.1359999999993744
8.080808080808081,0.14127163915132895,0.0002965058059604954,0.9538013663106018,4.2973788482207626e-13,1.1359999999995114
8.181818181818182,0.13982541376835828,0.00028957138622238596,0.9554155122424327,3.3754370996342805e-13,1.1359999999996162
8.282828282828282,0.1384085930486,0.0002833929427895057,0.9569961916877687,2.709168555641543e-13,1.135999999999692
8.383838383838384,0.13702028417165973,0.00027791054284920014,0.9585444597384971,2.254800998377248e-13,1.1359999999997434
8.484848484848484,0.13565963009231355,0.00027290102853575826,0.9600615036138087,1.9529147167940936e-13,1.1359999999997779
8.585858585858587,0.13432580954050788,0.0002679780169304115,0.961548642660199,1.7284425066627392e-13,1.1359999999998034
8.686868686868687,0.13301803702135956,0.0002625919000613344,0.963007328351467,1.4906696705718362e-13,1.1359999999998303
8.787878787878787,0.1317355566932663,0.0002564657266823316,0.9644386921070092,1.2113901728802265e-13,1.135999999999862
8.88888888888889,0.13047763862270367,0.00025028926255350026,0.9658428186074722,9.76090658369255e-14,1.1359999999998887
8.98989898989899,0.1292435864668616,0.0002444595261496516,0.9672200634748375,7.849080422863503e-14,1.1359999999999104
9.09090909090909,0.1280327271451437,0.00023921438975817259,0.9685709240661357,6.345607863173162e-14,1.1359999999999275
9.191919191919192,0.12684441066204905,0.0002346407531914183,0.9698960310633175,5.2031359517563456e-14,1.1359999999999404
9.292929292929292,0.1256780101071724,0.00023067454378671183,0.971196148473254,4.3597741660246836e-14,1.1359999999999502
9.393939393939394,0.12453292165520392,0.00022710071640634385,0.9724721736277361,3.739094413666495e-14,1.135999999999957
9.494949494949495,0.12340856456592939,0.00022355325343757323,0.9737251371834751,3.250131032646913e-14,1.1359999999999626
9.595959595959595,0.12230438118423004,0.0002195151647926265,0.9749562031221024,2.7873807912077787e-14,1.135999999999968
9.696969696969697,0.1212198346764312,0.0002149067562332166,0.9761660518186441,2.3120237579632175e-14,1.1359999999999733
9.797979797979798,0.12015440374003869,0.00021053841819680628,0.9773544091327026,1.9183339200374067e-14,1.135999999999978
9.8989898989899,0.11910758639319582,0.00020639870475433738,0.9785218448511216,1.5946136889454784e-14,1.1359999999999815
10.0,0.11807889804795549,0.00020244148681407756,0.9796689459563166,1.3276884063895602e-14,1.1359999999999846
